date,transect,file_name,bed,lat,long,count,on_gravel,notes,id,left,top,right,bottom
6/10/2020,"3",06102020_IRQ_D3,Downstream,44.83637,-75.299415,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2020,"3",06102020_IRQ_D3,Downstream,44.836318,-75.299413,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2020,"5",06102020_IRQ_D5,Downstream,44.836303,-75.29929,"3",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2020,"5",06102020_IRQ_D5,Downstream,44.836358,-75.299288,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2020,"5",06102020_IRQ_D5,Downstream,44.836413,-75.299258,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2020,"5",06102020_IRQ_D5,Downstream,44.836463,-75.29923,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/10/2020,"5",06102020_IRQ_D5,Downstream,44.836543,-75.299195,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/12/2020,"4",06122020_IRQ_D4,Downstream,44.836442,-75.299433,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/12/2020,"5",06122020_IRQ_D5,Downstream,44.836318,-75.299375,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/15/2020,"5",06152020_IRQ_D5,Downstream,44.836333,-75.299275,"5",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/15/2020,"5",06152020_IRQ_D5,Downstream,44.836403,-75.299233,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/17/2020,"4",06172020_IRQ_D4,Downstream,44.836303,-75.299408,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/17/2020,"5",06172020_IRQ_D5,Downstream,44.836338,-75.299305,"9",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/17/2020,"5",06172020_IRQ_D5,Downstream,44.83647,-75.299282,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/17/2020,"5",06172020_IRQ_D5,Downstream,44.83653,-75.299262,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/18/2020,"5",06182020_IRQ_D5,Downstream,44.836302,-75.299377,"2",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/18/2020,"5",06182020_IRQ_D5,Downstream,44.836368,-75.29936,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/18/2020,"5",06182020_IRQ_D5,Downstream,44.836425,-75.299343,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/18/2020,"5",06182020_IRQ_D5,Downstream,44.836485,-75.299325,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/22/2020,"5",06222020_IRQ_D5,Downstream,44.83643,-75.299302,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
6/22/2020,"5",06222020_IRQ_D5,Downstream,44.836547,-75.299265,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
5/20/2021,"4",05202021-Irq-D4,Downstream,44.83641167,-75.29939833,"1",No,,182,2091.803288358089048,4984131.068918390199542,2121.803288358089048,4984101.068918390199542
